"deal_id","title","url","merchant","category","current_price","original_price","displayed_discount_percent","condition","verified_at","dealdesk_value_score"
"amazon-prime-young-adults-20260801","Prime for Young Adults — 6-month $0 trial","https://dealdesk.fyi/deals/amazon-prime-young-adults/","Amazon Prime","Subscriptions","$0","$7.49/mo","50","Not stated","2026-08-11","81"
"ebay-item-366373129773","Dell Latitude 7490 Touch – i7‑8650U, 16GB, 512GB SSD, Win11 Pro","https://dealdesk.fyi/deals/ebay-item-366373129773/","eBay","Electronics","$239.99","$2,999.99","92","Refurbished","2026-08-04","86"
"amazon-B0FWK41WF2-20260812","eufy C28 robot vacuum and mop","https://dealdesk.fyi/deals/amazon-b0fwk41wf2/","Amazon","Home","$499.99","$799.99","38","Not stated","2026-08-12","77"
"ebay-item-206474700849","Trolls 3 DJ Trollex Party Mixer","https://dealdesk.fyi/deals/ebay-item-206474700849/","eBay","Collectibles","$8.59","$39.99","79","Pre-owned","2026-08-11","90"
"cj-nordvpn-2-year-20260801","NordVPN Basic 2-year plan","https://dealdesk.fyi/deals/cj-nordvpn-2-year/","NordVPN","Subscriptions","$3.49/mo","$11.59/mo","69","Not stated","2026-08-01","77"
"ebay-item-366597492407","HP ZBook Firefly 14 G8 14"" 512GB i5-1145G7 WIN11P, Gray","https://dealdesk.fyi/deals/ebay-item-366597492407/","eBay","Electronics","$265.00","$1999.99","87","Refurbished","2026-08-11","90"
"rakuten-sensibo-air-room-sensor-20260803","Sensibo Air + Room Sensor","https://dealdesk.fyi/deals/rakuten-sensibo-air-room-sensor/","Sensibo","Home","$159.00","$229.00","31","New","2026-08-03","79"
"ebay-item-127987648416","Pokemon ITM0020383 Trading Card Games Scarlet & Violet Destined Rivals Elite","https://dealdesk.fyi/deals/ebay-item-127987648416/","eBay","Collectibles","$140.00","$599.95","77","Not stated","2026-08-11","84"
"amazon-B0C5C89QKZ-20260812","Anker SOLIX C1000 portable power station","https://dealdesk.fyi/deals/amazon-b0c5c89qkz/","Amazon","Electronics","$429.98","$599.99","28","Not stated","2026-08-12","77"
"cj-surfshark-starter-20260801","Surfshark Starter 24-month plan","https://dealdesk.fyi/deals/cj-surfshark-starter/","Surfshark","Subscriptions","$2.49/mo","$16.45/mo","85","Not stated","2026-08-11","81"
"ebay-item-137021591561","Star Wars Micro Galaxy Squadron Ghost with Mini Figures","https://dealdesk.fyi/deals/ebay-item-137021591561/","eBay","Collectibles","$16.00","$59.97","73","Not stated","2026-08-11","84"
"amazon-B0CXZTT4MT-20260812","Amazon Fire TV Soundbar Plus","https://dealdesk.fyi/deals/amazon-b0cxztt4mt/","Amazon","Electronics","$149.99","$249.99","40","Not stated","2026-08-12","77"
"cj-proton-vpn-plus-2-year-70off-20260804","Proton VPN Plus 2-year plan","https://dealdesk.fyi/deals/cj-proton-vpn-plus-2-year-70off/","Proton VPN","Subscriptions","$71.76","$239.76","70","Not stated","2026-08-11","81"
"ebay-item-127765710395","Voyage Aeronautics VL-6503 VA-2500 Premium HD Video Drone with Optical Flow","https://dealdesk.fyi/deals/ebay-item-127765710395/","eBay","Collectibles","$16.00","$49.97","68","Not stated","2026-08-11","84"
"amazon-B0FMTSRKYL-20260812","Keurig K-Mini Mate coffee maker","https://dealdesk.fyi/deals/amazon-b0fmtsrkyl/","Amazon","Home","$49.99","$59.99","17","Not stated","2026-08-12","73"
"ebay-item-136085045308","Arlo VMC3060-100NAR Essential 2ndGen 2K Indoor Single Cam-Certified Refurbished","https://dealdesk.fyi/deals/ebay-item-136085045308/","eBay","Electronics","$14.28","$99.99","86","Certified refurbished","2026-08-04","86"
"cj-malwarebytes-standard-2-year-25off-20260811","Malwarebytes Standard 2-year plan","https://dealdesk.fyi/deals/cj-malwarebytes-standard-2-year-25off/","Malwarebytes","Subscriptions","$67.48","$89.98","25","Not stated","2026-08-11","77"
