"deal_id","url","indexable","title_tag","primary_query","secondary_queries","value_score","merchant_path","comparison_path","collection_paths"
"amazon-prime-young-adults-20260801","https://dealdesk.fyi/deals/amazon-prime-young-adults/","false","Prime for Young Adults — 6-month $0 trial deal: $0 | DealDesk","Prime for Young Adults — 6-month $0 trial deal","Prime for Young Adults — 6-month $0 trial price | Prime for Young Adults — 6-month $0 trial discount | Amazon Prime Prime for Young Adults — 6-month $0 trial","77","/merchants/","",""
"ebay-item-366373129773","https://dealdesk.fyi/deals/ebay-item-366373129773/","false","Dell Latitude 7490 Touch – i7‑8650U, 16GB,… deal: $239.99 | DealDesk","Dell Latitude 7490 Touch – i7‑8650U, 16GB, 512GB SSD, Win11 Pro deal","Dell Latitude 7490 Touch – i7‑8650U, 16GB, 512GB SSD, Win11 Pro price | Dell Latitude 7490 Touch – i7‑8650U, 16GB, 512GB SSD, Win11 Pro discount | eBay Dell Latitude 7490 Touch – i7‑8650U, 16GB, 512GB SSD, Win11 Pro","86","/merchant/ebay/","","/collections/refurbished-electronics/ | /collections/refurbished-laptops/"
"amazon-B0FWK41WF2-20260812","https://dealdesk.fyi/deals/amazon-b0fwk41wf2/","false","eufy C28 robot vacuum and mop deal: $499.99 | DealDesk","eufy C28 robot vacuum and mop deal","eufy C28 robot vacuum and mop price | eufy C28 robot vacuum and mop discount | Amazon eufy C28 robot vacuum and mop","73","/merchant/amazon/","","/collections/security-cameras/"
"ebay-item-127987648416","https://dealdesk.fyi/deals/ebay-item-127987648416/","false","Pokemon ITM0020383 Trading Card Games… deal: $126.00 | DealDesk","Pokemon ITM0020383 Trading Card Games Scarlet & Violet Destined Rivals Elite deal","Pokemon ITM0020383 Trading Card Games Scarlet & Violet Destined Rivals Elite price | Pokemon ITM0020383 Trading Card Games Scarlet & Violet Destined Rivals Elite discount | eBay Pokemon ITM0020383 Trading Card Games Scarlet & Violet Destined Rivals Elite","84","/merchant/ebay/","","/collections/pokemon-cards/"
"cj-nordvpn-2-year-20260801","https://dealdesk.fyi/deals/cj-nordvpn-2-year/","false","NordVPN Basic 2-year plan deal: $3.49/mo | DealDesk","NordVPN Basic 2-year plan deal","NordVPN Basic 2-year plan price | NordVPN Basic 2-year plan discount | NordVPN deals","77","/merchant/nordvpn/","","/collections/vpn-deals/"
"ebay-item-366597492407","https://dealdesk.fyi/deals/ebay-item-366597492407/","false","HP ZBook Firefly 14 G8 14"" 512GB i5-1145G7… deal: $265.00 | DealDesk","HP ZBook Firefly 14 G8 14"" 512GB i5-1145G7 WIN11P, Gray deal","HP ZBook Firefly 14 G8 14"" 512GB i5-1145G7 WIN11P, Gray price | HP ZBook Firefly 14 G8 14"" 512GB i5-1145G7 WIN11P, Gray discount | eBay HP ZBook Firefly 14 G8 14"" 512GB i5-1145G7 WIN11P, Gray","86","/merchant/ebay/","","/collections/refurbished-electronics/ | /collections/refurbished-laptops/"
"rakuten-sensibo-air-room-sensor-20260803","https://dealdesk.fyi/deals/rakuten-sensibo-air-room-sensor/","false","Sensibo Air + Room Sensor deal: $159.00 | DealDesk","Sensibo Air + Room Sensor deal","Sensibo Air + Room Sensor price | Sensibo Air + Room Sensor discount | Sensibo deals","79","/merchant/sensibo/","",""
"ebay-item-206474700849","https://dealdesk.fyi/deals/ebay-item-206474700849/","false","Trolls 3 DJ Trollex Party Mixer deal: $8.59 | DealDesk","Trolls 3 DJ Trollex Party Mixer deal","Trolls 3 DJ Trollex Party Mixer price | Trolls 3 DJ Trollex Party Mixer discount | eBay Trolls 3 DJ Trollex Party Mixer","86","/merchant/ebay/","",""
"amazon-B0C5C89QKZ-20260812","https://dealdesk.fyi/deals/amazon-b0c5c89qkz/","false","Anker SOLIX C1000 portable power station deal: $429.98 | DealDesk","Anker SOLIX C1000 portable power station deal","Anker SOLIX C1000 portable power station price | Anker SOLIX C1000 portable power station discount | Amazon Anker SOLIX C1000 portable power station","73","/merchant/amazon/","",""
"cj-surfshark-starter-20260801","https://dealdesk.fyi/deals/cj-surfshark-starter/","false","Surfshark Starter 24-month plan deal: $2.49/mo | DealDesk","Surfshark Starter 24-month plan deal","Surfshark Starter 24-month plan price | Surfshark Starter 24-month plan discount | Surfshark deals","77","/merchant/surfshark/","","/collections/vpn-deals/"
